run,project,tp,fp,fn,f1,canonical
run1,mediastore,24,0,7,0.872727,
run1,teastore,21,0,6,0.875000,
run1,teammates,48,1,9,0.905660,
run1,bigbluebutton,44,2,18,0.814815,
run1,jabref,18,0,0,1.000000,
run1,MACRO,,,,0.893640,
run2,mediastore,19,0,12,0.760000,yes
run2,teastore,20,0,7,0.851064,yes
run2,teammates,50,1,7,0.925926,yes
run2,bigbluebutton,44,1,18,0.822430,yes
run2,jabref,18,0,0,1.000000,yes
run2,MACRO,,,,0.871884,yes
run3,mediastore,19,0,12,0.760000,
run3,teastore,21,0,6,0.875000,
run3,teammates,49,0,8,0.924528,
run3,bigbluebutton,40,0,22,0.784314,
run3,jabref,18,0,0,1.000000,
run3,MACRO,,,,0.868768,
