project,link_f1,sentence_f1,decision_f1,component_f1,file_f1,weighted_f1,mcc,map,acf1,ndg,hus
mediastore,0.694,0.744,0.694,0.694,—,—,0.711,0.574,—,—,0.727
teastore,0.851,0.821,0.851,0.851,—,—,0.857,0.696,—,—,0.821
teammates,0.710,0.916,0.710,0.710,—,—,0.714,0.800,—,—,0.651
bigbluebutton,0.793,0.897,0.793,0.793,—,—,0.792,0.709,—,—,0.844
jabref,0.947,1.000,0.947,0.947,—,—,0.933,0.950,—,—,0.889
Average,0.799,0.875,0.799,0.799,—,—,0.801,0.746,—,—,0.786
