backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1
claude,run1,entity_only,mediastore,1.000000,0.870968,0.931034
claude,run1,entity_only,teastore,1.000000,0.703704,0.826087
claude,run1,entity_only,teammates,0.937500,0.789474,0.857143
claude,run1,entity_only,bigbluebutton,0.950000,0.612903,0.745098
claude,run1,entity_only,jabref,0.947368,1.000000,0.972973
claude,run1,coref_only,mediastore,0.750000,0.096774,0.171429
claude,run1,coref_only,teastore,0.958333,0.851852,0.901961
claude,run1,coref_only,teammates,0.914286,0.561404,0.695652
claude,run1,coref_only,bigbluebutton,0.866667,0.209677,0.337662
claude,run1,coref_only,jabref,1.000000,0.722222,0.838710
claude,run1,full,mediastore,0.967742,0.967742,0.967742
claude,run1,full,teastore,0.964286,1.000000,0.981818
claude,run1,full,teammates,0.927273,0.894737,0.910714
claude,run1,full,bigbluebutton,0.957447,0.725806,0.825688
claude,run1,full,jabref,0.947368,1.000000,0.972973
claude,run2,entity_only,mediastore,1.000000,0.838710,0.912281
claude,run2,entity_only,teastore,1.000000,0.703704,0.826087
claude,run2,entity_only,teammates,0.958333,0.807018,0.876190
claude,run2,entity_only,bigbluebutton,0.948718,0.596774,0.732673
claude,run2,entity_only,jabref,0.947368,1.000000,0.972973
claude,run2,coref_only,mediastore,1.000000,0.419355,0.590909
claude,run2,coref_only,teastore,1.000000,0.740741,0.851064
claude,run2,coref_only,teammates,0.913043,0.368421,0.525000
claude,run2,coref_only,bigbluebutton,1.000000,0.258065,0.410256
claude,run2,coref_only,jabref,1.000000,0.722222,0.838710
claude,run2,full,mediastore,1.000000,0.935484,0.966667
claude,run2,full,teastore,1.000000,0.962963,0.981132
claude,run2,full,teammates,0.944444,0.894737,0.918919
claude,run2,full,bigbluebutton,0.959184,0.758065,0.846847
claude,run2,full,jabref,0.947368,1.000000,0.972973
claude,run3,entity_only,mediastore,1.000000,0.741935,0.851852
claude,run3,entity_only,teastore,0.869565,0.740741,0.800000
claude,run3,entity_only,teammates,0.957447,0.789474,0.865385
claude,run3,entity_only,bigbluebutton,0.973684,0.596774,0.740000
claude,run3,entity_only,jabref,1.000000,1.000000,1.000000
claude,run3,coref_only,mediastore,0.800000,0.129032,0.222222
claude,run3,coref_only,teastore,1.000000,0.814815,0.897959
claude,run3,coref_only,teammates,0.939394,0.543860,0.688889
claude,run3,coref_only,bigbluebutton,1.000000,0.209677,0.346667
claude,run3,coref_only,jabref,1.000000,0.722222,0.838710
claude,run3,full,mediastore,0.962963,0.838710,0.896552
claude,run3,full,teastore,0.900000,1.000000,0.947368
claude,run3,full,teammates,0.960784,0.859649,0.907407
claude,run3,full,bigbluebutton,0.976744,0.677419,0.800000
claude,run3,full,jabref,1.000000,1.000000,1.000000
claude,average,entity_only,mediastore,1.000000,0.817204,0.898389
claude,average,entity_only,teastore,0.956522,0.716049,0.817391
claude,average,entity_only,teammates,0.951093,0.795322,0.866239
claude,average,entity_only,bigbluebutton,0.957467,0.602151,0.739257
claude,average,entity_only,jabref,0.964912,1.000000,0.981982
claude,average,coref_only,mediastore,0.850000,0.215054,0.328187
claude,average,coref_only,teastore,0.986111,0.802469,0.883661
claude,average,coref_only,teammates,0.922241,0.491228,0.636514
claude,average,coref_only,bigbluebutton,0.955556,0.225806,0.364862
claude,average,coref_only,jabref,1.000000,0.722222,0.838710
claude,average,full,mediastore,0.976902,0.913978,0.943653
claude,average,full,teastore,0.954762,0.987654,0.970106
claude,average,full,teammates,0.944167,0.883041,0.912347
claude,average,full,bigbluebutton,0.964458,0.720430,0.824178
claude,average,full,jabref,0.964912,1.000000,0.981982
openai,run1,entity_only,mediastore,1.000000,0.838710,0.912281
openai,run1,entity_only,teastore,1.000000,0.740741,0.851064
openai,run1,entity_only,teammates,1.000000,0.754386,0.860000
openai,run1,entity_only,bigbluebutton,1.000000,0.645161,0.784314
openai,run1,entity_only,jabref,1.000000,1.000000,1.000000
openai,run1,coref_only,mediastore,1.000000,0.129032,0.228571
openai,run1,coref_only,teastore,1.000000,0.185185,0.312500
openai,run1,coref_only,teammates,1.000000,0.228070,0.371429
openai,run1,coref_only,bigbluebutton,0.909091,0.161290,0.273973
openai,run1,coref_only,jabref,1.000000,0.055556,0.105263
openai,run1,full,mediastore,1.000000,0.935484,0.966667
openai,run1,full,teastore,1.000000,0.925926,0.961538
openai,run1,full,teammates,1.000000,0.859649,0.924528
openai,run1,full,bigbluebutton,0.979167,0.758065,0.854545
openai,run1,full,jabref,1.000000,1.000000,1.000000
openai,run2,entity_only,mediastore,1.000000,0.806452,0.892857
openai,run2,entity_only,teastore,1.000000,0.740741,0.851064
openai,run2,entity_only,teammates,1.000000,0.736842,0.848485
openai,run2,entity_only,bigbluebutton,0.976744,0.677419,0.800000
openai,run2,entity_only,jabref,1.000000,1.000000,1.000000
openai,run2,coref_only,mediastore,1.000000,0.129032,0.228571
openai,run2,coref_only,teastore,1.000000,0.185185,0.312500
openai,run2,coref_only,teammates,0.785714,0.192982,0.309859
openai,run2,coref_only,bigbluebutton,1.000000,0.129032,0.228571
openai,run2,coref_only,jabref,1.000000,0.055556,0.105263
openai,run2,full,mediastore,1.000000,0.903226,0.949153
openai,run2,full,teastore,1.000000,0.925926,0.961538
openai,run2,full,teammates,0.941176,0.842105,0.888889
openai,run2,full,bigbluebutton,0.979592,0.774194,0.864865
openai,run2,full,jabref,1.000000,1.000000,1.000000
openai,run3,entity_only,mediastore,1.000000,0.838710,0.912281
openai,run3,entity_only,teastore,1.000000,0.740741,0.851064
openai,run3,entity_only,teammates,0.976744,0.736842,0.840000
openai,run3,entity_only,bigbluebutton,1.000000,0.661290,0.796117
openai,run3,entity_only,jabref,1.000000,1.000000,1.000000
openai,run3,coref_only,mediastore,1.000000,0.129032,0.228571
openai,run3,coref_only,teastore,1.000000,0.185185,0.312500
openai,run3,coref_only,teammates,0.800000,0.210526,0.333333
openai,run3,coref_only,bigbluebutton,1.000000,0.096774,0.176471
openai,run3,coref_only,jabref,1.000000,0.055556,0.105263
openai,run3,full,mediastore,1.000000,0.935484,0.966667
openai,run3,full,teastore,1.000000,0.925926,0.961538
openai,run3,full,teammates,0.941176,0.842105,0.888889
openai,run3,full,bigbluebutton,1.000000,0.741935,0.851852
openai,run3,full,jabref,1.000000,1.000000,1.000000
openai,average,entity_only,mediastore,1.000000,0.827957,0.905806
openai,average,entity_only,teastore,1.000000,0.740741,0.851064
openai,average,entity_only,teammates,0.992248,0.742690,0.849495
openai,average,entity_only,bigbluebutton,0.992248,0.661290,0.793477
openai,average,entity_only,jabref,1.000000,1.000000,1.000000
openai,average,coref_only,mediastore,1.000000,0.129032,0.228571
openai,average,coref_only,teastore,1.000000,0.185185,0.312500
openai,average,coref_only,teammates,0.861905,0.210526,0.338207
openai,average,coref_only,bigbluebutton,0.969697,0.129032,0.226338
openai,average,coref_only,jabref,1.000000,0.055556,0.105263
openai,average,full,mediastore,1.000000,0.924731,0.960829
openai,average,full,teastore,1.000000,0.925926,0.961538
openai,average,full,teammates,0.960784,0.847953,0.900769
openai,average,full,bigbluebutton,0.986253,0.758065,0.857087
openai,average,full,jabref,1.000000,1.000000,1.000000
