variant,project,tp,fp,fn,f1
Full,bigbluebutton,46,0,16,0.851852
NoEntityValid,bigbluebutton,48,1,14,0.864865
NoCitation,bigbluebutton,47,5,15,0.824561
NoValidator,bigbluebutton,49,6,13,0.837607
