variant,project,tp,fp,fn,f1
Full,teastore,27,1,0,0.981818
NoEntityValid,teastore,27,3,0,0.947368
NoCitation,teastore,27,2,0,0.964286
NoValidator,teastore,27,3,0,0.947368
