project,file_p,file_r,file_f1,component_f1,sentence_coverage,noise_rate
mediastore,0.0764,0.6271,0.1363,0.2349,0.9600,0.9085
teastore,0.3567,0.3098,0.3316,0.3750,1.0000,0.6798
bigbluebutton,0.1488,0.1105,0.1268,0.2829,0.5556,0.8405
Average,0.1940,0.3491,0.1982,0.2976,0.8385,0.8096
