project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,0.9444,0.5484,0.6939,0.5926,0.0588
teastore,1.0000,0.7407,0.8511,0.6957,0.0000
teammates,0.6049,0.8596,0.7101,0.8444,0.4470
bigbluebutton,0.8980,0.7097,0.7928,0.8125,0.0813
jabref,0.9000,1.0000,0.9474,1.0000,0.1000
Average,0.8695,0.7717,0.7990,0.7890,0.1374
