project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,0.2970,0.9677,0.4545,1.0000,0.4443
teastore,0.2476,0.9630,0.3939,0.9565,0.5688
teammates,0.0962,0.5263,0.1626,0.4667,0.9039
bigbluebutton,0.1566,0.7097,0.2566,0.7708,0.8184
jabref,0.7500,1.0000,0.8571,1.0000,0.2778
Average,0.3095,0.8333,0.4250,0.8388,0.6026
