project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,0.1835,0.9355,0.3069,0.9630,0.6236
teastore,0.1484,1.0000,0.2584,1.0000,0.7193
teammates,0.0574,0.7018,0.1061,0.6889,0.9314
bigbluebutton,0.0981,0.7419,0.1733,0.8125,0.8772
jabref,0.3830,1.0000,0.5538,1.0000,0.5115
Average,0.1741,0.8758,0.2797,0.8929,0.7326
