project,link_p,link_r,link_f1,sentence_coverage,noise_rate
mediastore,1.0000,0.9677,0.9836,1.0000,0.0000
teastore,1.0000,0.9630,0.9811,0.9565,0.0000
teammates,0.8305,0.8596,0.8448,0.9111,0.1900
bigbluebutton,0.9583,0.7419,0.8364,0.8125,0.0333
jabref,1.0000,1.0000,1.0000,1.0000,0.0000
Average,0.9578,0.9065,0.9292,0.9360,0.0447
