backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
openai,run1,Full,0.972268,0.859631,0.910123,0.885436,0.733100,0.879189,0.843594,0.029056,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run1,NoEntityValid,0.866986,0.877967,0.870116,0.854557,0.647879,0.848163,0.852290,0.140065,-0.040007,-0.085221,-0.031025,+0.008696,+0.111009
openai,run1,NoCitation,0.869668,0.884997,0.874631,0.856897,0.638485,0.842876,0.871855,0.140220,-0.035491,-0.094615,-0.036313,+0.028261,+0.111164
openai,run1,NoValidator,0.799473,0.897997,0.841533,0.830682,0.621138,0.819846,0.876203,0.203832,-0.068590,-0.111962,-0.059343,+0.032609,+0.174776
openai,run2,Full,0.957197,0.859308,0.903888,0.880421,0.759596,0.888706,0.840135,0.042912,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run2,NoEntityValid,0.840634,0.882794,0.857728,0.857039,0.681212,0.861996,0.856831,0.142001,-0.046160,-0.078384,-0.026710,+0.016696,+0.099090
openai,run2,NoCitation,0.875539,0.877264,0.873184,0.849676,0.656818,0.843237,0.857527,0.113937,-0.030704,-0.102778,-0.045469,+0.017391,+0.071026
openai,run2,NoValidator,0.787879,0.897711,0.832674,0.831732,0.646667,0.826246,0.872048,0.199901,-0.071214,-0.112929,-0.062459,+0.031913,+0.156989
openai,run3,Full,0.959527,0.858173,0.904832,0.882692,0.766434,0.883614,0.841420,0.038174,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run3,NoEntityValid,0.843702,0.872804,0.854384,0.855832,0.681212,0.851774,0.850116,0.143974,-0.050448,-0.085221,-0.031840,+0.008696,+0.105800
openai,run3,NoCitation,0.890577,0.876641,0.881810,0.855392,0.656818,0.840922,0.863256,0.120720,-0.023022,-0.109615,-0.042692,+0.021836,+0.082546
openai,run3,NoValidator,0.799698,0.889296,0.836638,0.832367,0.646667,0.819013,0.869778,0.193670,-0.068194,-0.119767,-0.064601,+0.028357,+0.155496
openai,average,Full,0.962997,0.859037,0.906281,0.882850,0.753043,0.883836,0.841716,0.036714,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,average,NoCitation,0.878595,0.879634,0.876542,0.853988,0.650707,0.842345,0.864213,0.124959,-0.029739,-0.102336,-0.041491,+0.022496,+0.088245
openai,average,NoEntityValid,0.850441,0.877855,0.860743,0.855809,0.670101,0.853978,0.853079,0.142013,-0.045538,-0.082942,-0.029858,+0.011363,+0.105300
openai,average,NoValidator,0.795683,0.895001,0.836948,0.831594,0.638157,0.821702,0.872676,0.199134,-0.069333,-0.114886,-0.062134,+0.030960,+0.162420
