metric,system,MS,TS,TM,BBB,JR,total
SFC,approach S21,0.000,0.000,0.000,0.000,0.000,0.000
SFC,Artemis,0.000,0.000,1.000,1.000,1.000,3.000
SFC,TransArC,3.000,0.000,0.000,0.000,0.000,3.000
PHC,approach S21,0.000,0.000,0.000,0.333,0.000,0.333
PHC,Artemis,0.000,0.000,1.000,0.000,0.000,1.000
PHC,TransArC,1.000,0.000,0.000,0.000,0.000,1.000
