component,files,ca,ce,cbo,instab,ca_share,fanin_w,fanout_w,internal_w,out_w,in_w,cohesion,pr_best_rank,bc_best_rank
model,198,716,28,721,0.0376,57.1429,14955,168,6301,134,14750,29.7427,2,1
logic,575,428,162,565,0.2746,48.8584,7521,9542,7382,9521,7472,30.2851,1,9
gui,641,25,345,352,0.9324,3.0864,275,14210,14673,14188,235,50.4296,14,2
cli,5,1,63,64,0.9844,0.0692,8,385,54,382,8,12.1622,480,89
preferences,18,270,76,342,0.2197,18.8416,2094,576,67,576,1923,2.6111,18,7
globals,1,97,22,117,0.1849,6.6897,495,77,0,75,488,0.0,55,6
