variant,project,tp,fp,fn,f1
Full,bigbluebutton,45,2,17,0.825688
NoEntityValid,bigbluebutton,45,5,17,0.803571
NoCitation,bigbluebutton,46,5,16,0.814159
NoValidator,bigbluebutton,46,8,16,0.793103
