modelElementID,sentence
_yGgUMFkHEeyewPSmlgszyA,18
_6sergFkHEeyewPSmlgszyA,79
_yGgUMFkHEeyewPSmlgszyA,13
_yGgUMFkHEeyewPSmlgszyA,12
_yGgUMFkHEeyewPSmlgszyA,10
_yGgUMFkHEeyewPSmlgszyA,15
_s0aIcFkHEeyewPSmlgszyA,65
_s0aIcFkHEeyewPSmlgszyA,67
_yGgUMFkHEeyewPSmlgszyA,8
_yGgUMFkHEeyewPSmlgszyA,9
_yGgUMFkHEeyewPSmlgszyA,6
_s0aIcFkHEeyewPSmlgszyA,74
_s0aIcFkHEeyewPSmlgszyA,73
_s0aIcFkHEeyewPSmlgszyA,70
_XuNf4FkJEeyewPSmlgszyA,26
_yGgUMFkHEeyewPSmlgszyA,47
_yGgUMFkHEeyewPSmlgszyA,39
_4yx-8FkHEeyewPSmlgszyA,78
_0e5u8FkHEeyewPSmlgszyA,6
_0e5u8FkHEeyewPSmlgszyA,5
_0e5u8FkHEeyewPSmlgszyA,4
_s0aIcFkHEeyewPSmlgszyA,5
_XuNf4FkJEeyewPSmlgszyA,51
_oN4CMFkHEeyewPSmlgszyA,67
_XuNf4FkJEeyewPSmlgszyA,52
_XuNf4FkJEeyewPSmlgszyA,54
_oN4CMFkHEeyewPSmlgszyA,68
_0e5u8FkHEeyewPSmlgszyA,14
_XuNf4FkJEeyewPSmlgszyA,60
_yGgUMFkHEeyewPSmlgszyA,73
_9wZIcFkHEeyewPSmlgszyA,57
_yGgUMFkHEeyewPSmlgszyA,68
_2BgxMFkHEeyewPSmlgszyA,81
_2BgxMFkHEeyewPSmlgszyA,80
_6sergFkHEeyewPSmlgszyA,60
_4yx-8FkHEeyewPSmlgszyA,36
_nwrCMFwPEeyiuNx_RO7j-Q,58
_nwrCMFwPEeyiuNx_RO7j-Q,59
_6sergFkHEeyewPSmlgszyA,47
_nwrCMFwPEeyiuNx_RO7j-Q,60
_6sergFkHEeyewPSmlgszyA,46
_4yx-8FkHEeyewPSmlgszyA,30
_nwrCMFwPEeyiuNx_RO7j-Q,61
_nwrCMFwPEeyiuNx_RO7j-Q,62
_nwrCMFwPEeyiuNx_RO7j-Q,63
_nwrCMFwPEeyiuNx_RO7j-Q,66
_RDHFIFwPEeyiuNx_RO7j-Q,48
_nwrCMFwPEeyiuNx_RO7j-Q,72
_RDHFIFwPEeyiuNx_RO7j-Q,49
